Epoch,Tanh,ReLU,LeakyReLU,Sigmoid
1,8.5013,8.4323,8.5571,8.3299
2,8.4045,8.2653,8.4328,8.3272
3,8.3303,8.1834,8.3560,8.3250
4,8.2712,8.1244,8.2958,8.3235
5,8.2218,8.0767,8.2455,8.3223
6,8.1798,8.0356,8.2055,8.3213
7,8.1419,7.9977,8.1686,8.3205
8,8.1071,7.9608,8.1320,8.3193
9,8.0741,7.9261,8.0957,8.3187
10,8.0412,7.8915,8.0569,8.3176
11,8.0085,7.8568,8.0181,8.3168
12,7.9748,7.8226,7.9748,8.3160
13,7.9394,7.7848,7.9304,8.3151
14,7.9018,7.7476,7.8819,8.3142
15,7.8606,7.7064,7.8296,8.3132
16,7.8146,7.6641,7.7709,8.3122
17,7.7622,7.6198,7.7081,8.3115
18,7.7019,7.5699,7.6362,8.3106
19,7.6321,7.5165,7.5581,8.3098
20,7.5511,7.4562,7.4737,8.3089
21,7.4571,7.3942,7.3845,8.3080
22,7.3503,7.3194,7.2923,8.3070
23,7.2295,7.2357,7.1956,8.3061
24,7.0952,7.1429,7.0974,8.3052
25,6.9495,7.0393,6.9935,8.3044
26,6.7919,6.9210,6.8888,8.3036
27,6.6260,6.7952,6.7870,8.3024
28,6.4529,6.6421,6.6768,8.3016
29,6.2767,6.4786,6.5669,8.3008
30,6.0982,6.2835,6.4611,8.2997
31,5.9263,6.0909,6.3538,8.2986
32,5.7611,5.8719,6.2518,8.2976
33,5.6073,5.6318,6.1499,8.2968
34,5.4665,5.3944,6.0363,8.2958
35,5.3376,5.1424,5.9427,8.2948
36,5.2217,4.9081,5.8505,8.2938
37,5.1212,4.6536,5.7621,8.2928
38,5.0325,4.4351,5.6811,8.2918
39,4.9527,4.2229,5.5771,8.2906
40,4.8866,4.0330,5.5122,8.2896
41,4.8275,3.8503,5.4340,8.2885
42,4.7718,3.7180,5.3676,8.2874
43,4.7280,3.5624,5.2991,8.2863
44,4.6861,3.4627,5.2363,8.2851
45,4.6471,3.3363,5.1707,8.2840
46,4.6158,3.1904,5.0943,8.2827
47,4.5839,3.0614,5.0498,8.2816
48,4.5543,2.9666,4.9842,8.2803
49,4.5296,2.8303,4.9122,8.2795
50,4.5044,2.7698,4.8863,8.2782
51,4.4809,2.7192,4.8309,8.2767
52,4.4594,2.6457,4.7968,8.2757
53,4.4344,2.6348,4.7266,8.2741
54,4.4136,2.6163,4.6759,8.2730
