Epoch,2x8x4x1,2x16x8x4x1,2x32x16x8x4x1,2x64x32x16x8x4x1
1,8.2821,8.2599,8.2144,8.2193
2,8.2357,8.2134,8.1757,8.2152
3,8.2026,8.1775,8.1463,8.2111
4,8.1772,8.1458,8.1206,8.2072
5,8.1559,8.1152,8.0964,8.2033
6,8.1356,8.0837,8.0719,8.1991
7,8.1147,8.0494,8.0460,8.1948
8,8.0920,8.0106,8.0188,8.1901
9,8.0661,7.9667,7.9889,8.1847
10,8.0361,7.9177,7.9571,8.1788
11,8.0011,7.8622,7.9210,8.1720
12,7.9605,7.8000,7.8804,8.1644
13,7.9152,7.7288,7.8324,8.1554
14,7.8649,7.6449,7.7736,8.1450
15,7.8117,7.5438,7.6976,8.1331
16,7.7549,7.4220,7.5960,8.1194
17,7.6950,7.2754,7.4541,8.1034
18,7.6294,7.1030,7.2541,8.0852
19,7.5550,6.9073,6.9834,8.0645
20,7.4706,6.6924,6.6372,8.0417
21,7.3753,6.4656,6.2463,8.0160
22,7.2679,6.2346,5.8502,7.9882
23,7.1494,6.0053,5.4694,7.9581
24,7.0207,5.7816,5.0878,7.9256
25,6.8830,5.5644,4.6963,7.8898
26,6.7384,5.3645,4.2778,7.8473
27,6.5879,5.1756,3.8541,7.7931
28,6.4355,5.0046,3.4719,7.7128
29,6.2811,4.8542,3.1688,7.5819
30,6.1286,4.7260,2.9340,7.3721
31,5.9765,4.6106,2.7450,7.0738
32,5.8338,4.5120,2.5666,6.7054
33,5.6927,4.4271,2.3992,6.3027
34,5.5588,4.3504,2.2678,5.9185
35,5.4327,4.2784,2.1579,5.5845
36,5.3122,4.2101,2.0798,5.3018
37,5.2025,4.1393,2.0107,5.0739
38,5.0989,4.0655,1.9447,4.8807
39,5.0020,3.9813,1.8846,4.7029
40,4.9158,3.8845,1.8372,4.4699
41,4.8368,3.7731,1.7810,3.9638
42,4.7660,3.6426,1.7216,3.4496
43,4.7013,3.4966,1.6771,3.1548
44,4.6401,3.3460,1.6075,2.9932
45,4.5858,3.1903,1.5419,2.8936
46,4.5355,3.0371,1.4390,2.8167
47,4.4878,2.8971,1.3404,2.7145
48,4.4414,2.7598,1.2846,2.5735
49,4.3961,2.6370,1.2294,2.4855
50,4.3517,2.5289,1.1503,2.3929
51,4.3064,2.4306,1.0614,2.3100
52,4.2649,2.3397,1.0617,2.2636
53,4.2212,2.2556,0.9773,2.2044
54,4.1809,2.1815,0.9863,2.2093
55,4.1417,2.1098,1.0138,2.1489
56,4.1008,2.0414,0.8914,2.1229
57,4.0627,1.9785,0.8327,2.1572
58,4.0258,1.9169,0.8352,2.0400
59,3.9881,1.8651,0.9045,2.0273
60,3.9518,1.8117,0.8913,2.0002
61,3.9156,1.7620,0.9487,2.0032
62,3.8790,1.7165,0.9554,1.9481
63,3.8432,1.6715,0.9754,1.9941
64,3.8080,1.6276,0.8057,1.8918
65,3.7731,1.5894,0.8417,1.8657
66,3.7377,1.5459,0.8593,1.8409
67,3.7036,1.5142,0.6591,1.8406
68,3.6679,1.4769,0.7549,1.8317
69,3.6325,1.4409,0.7532,1.7772
70,3.6005,1.4200,0.6303,1.7377
71,3.5655,1.3833,0.6841,1.7751
72,3.5310,1.3469,0.6564,1.8223
73,3.4967,1.3186,0.6580,1.7080
74,3.4619,1.2979,0.5676,1.6898
75,3.4300,1.2779,0.8224,1.5131
76,3.3941,1.2450,0.7540,1.5125
77,3.3602,1.2215,0.6284,1.4777
78,3.3217,1.2011,0.6224,1.4217
79,3.2848,1.1717,0.5665,1.3870
80,3.2458,1.1517,0.5691,1.3231
81,3.1993,1.1238,0.5242,1.0986
82,3.1484,1.1089,0.6892,1.1042
83,3.0870,1.0806,0.6210,1.0586
84,3.0211,1.0527,0.5533,0.9151
85,2.9470,1.0331,0.5322,1.1025
86,2.8717,1.0226,0.4539,1.0088
87,2.8014,0.9904,0.5214,0.9464
88,2.7344,0.9820,0.6158,1.0267
89,2.6749,0.9516,0.5844,0.8336
90,2.6182,0.9268,0.4282,0.7694
91,2.5678,0.9062,0.4419,0.7635
92,2.5193,0.8891,0.4095,0.7118
93,2.4753,0.8746,0.6967,0.7886
94,2.4337,0.8556,0.4190,0.8138
95,2.3934,0.8314,0.5511,0.8374
96,2.3543,0.8203,0.3922,0.6011
97,2.3170,0.8113,0.4241,0.7166
98,2.2834,0.7973,0.3540,0.7355
99,2.2510,0.7988,0.4096,0.6175
100,2.2183,0.7843,0.4205,0.5830
101,2.1881,0.7533,0.4180,0.5084
102,2.1588,0.7281,0.4326,0.5881
103,2.1322,0.7274,0.4211,0.5428
104,2.1052,0.7281,0.3762,0.4925
105,2.0815,0.7072,0.4001,0.4549
106,2.0573,0.7071,0.3840,0.4989
107,2.0357,0.6874,0.3240,0.4934
108,2.0147,0.6755,0.3609,0.4397
109,1.9937,0.6632,0.3312,0.4315
110,1.9722,0.6468,0.3437,0.4147
111,1.9558,0.6355,0.3328,0.4182
112,1.9358,0.6266,0.3689,0.3962
113,1.9187,0.6219,0.3707,0.4150
114,1.8998,0.6367,0.4350,0.3977
115,1.8813,0.6308,0.3336,0.3603
116,1.8648,0.5895,0.2863,0.3510
117,1.8472,0.5790,0.4152,0.3488
118,1.8351,0.5821,0.2685,0.2735
119,1.8171,0.5602,0.2888,0.2959
120,1.8013,0.5510,0.3659,0.2671
121,1.7874,0.5951,0.3407,0.2990
122,1.7709,0.5562,0.2646,0.4457
123,1.7556,0.5860,0.2661,0.3537
124,1.7412,0.5917,0.2645,0.3362
125,1.7259,0.5362,0.2639,0.2453
126,1.7097,0.5515,0.2925,0.3440
127,1.6962,0.5095,0.3975,0.2468
128,1.6816,0.5133,0.2478,0.2529
129,1.6647,0.4907,0.2666,0.2368
130,1.6532,0.5361,0.2444,0.2185
131,1.6400,0.5031,0.3065,0.2672
132,1.6274,0.4915,0.3042,0.2437
133,1.6154,0.5318,0.2657,0.2329
134,1.6040,0.4949,0.2746,0.2387
135,1.5923,0.4956,0.2044,0.1909
136,1.5839,0.4952,0.2865,0.2758
137,1.5731,0.4915,0.2499,0.2386
138,1.5629,0.5257,0.2898,0.1867
139,1.5561,0.4447,0.2410,0.1987
140,1.5466,0.4639,0.2261,0.2053
141,1.5345,0.4614,0.1965,0.1978
142,1.5297,0.4591,0.2569,0.2374
143,1.5222,0.4683,0.2002,0.1688
144,1.5139,0.4382,0.2572,0.2085
145,1.5077,0.5719,0.2536,0.1653
146,1.5014,0.4386,0.2126,0.1526
147,1.4939,0.3945,0.2446,0.1500
148,1.4885,0.4214,0.2540,0.1942
149,1.4810,0.4294,0.2645,0.1782
150,1.4736,0.4189,0.2190,0.1471
151,1.4707,0.4449,0.2505,0.1467
152,1.4633,0.4606,0.2293,0.1494
153,1.4582,0.4068,0.1931,0.1548
154,1.4542,0.4801,0.2066,0.1774
155,1.4481,0.3809,0.2735,0.1551
156,1.4430,0.3607,0.2436,0.1416
157,1.4366,0.4006,0.2134,0.1251
158,1.4362,0.3962,0.1689,0.1283
159,1.4286,0.3736,0.1716,0.1320
160,1.4229,0.3559,0.1898,0.1542
161,1.4199,0.3809,0.1674,0.1352
162,1.4145,0.3481,0.1724,0.1421
163,1.4091,0.3657,0.1764,0.1643
164,1.4056,0.3549,0.2332,0.1243
165,1.4005,0.3336,0.1718,0.1279
166,1.4004,0.3487,0.1584,0.1384
167,1.3936,0.3112,0.2143,0.1392
168,1.3905,0.4055,0.1931,0.1375
169,1.3862,0.4172,0.1685,0.1199
170,1.3852,0.4250,0.1852,0.1670
171,1.3800,0.3295,0.1447,0.1128
172,1.3758,0.3157,0.1812,0.1002
173,1.3713,0.3828,0.1647,0.1132
174,1.3714,0.3194,0.1531,0.1341
175,1.3663,0.3109,0.1440,0.1229
176,1.3630,0.3473,0.1848,0.1259
177,1.3609,0.3378,0.1677,0.0996
178,1.3553,0.3309,0.1329,0.1153
179,1.3508,0.3353,0.1565,0.1053
180,1.3513,0.3079,0.1852,0.0953
181,1.3445,0.3422,0.1509,0.0952
182,1.3444,0.3036,0.1349,0.1098
183,1.3409,0.2912,0.2501,0.1138
184,1.3388,0.3747,0.1348,0.0983
185,1.3359,0.3622,0.1466,0.0919
186,1.3341,0.3049,0.1139,0.0991
187,1.3312,0.3013,0.1535,0.0911
188,1.3303,0.2618,0.1479,0.1333
189,1.3270,0.2854,0.1520,0.1017
190,1.3240,0.3750,0.2936,0.0898
191,1.3194,0.2947,0.1387,0.0941
192,1.3203,0.2885,0.1378,0.0899
193,1.3160,0.2755,0.1496,0.0856
