Epoch,2x64x32x1,2x64x32x16x1,2x64x32x16x8x1,2x64x32x16x8x4x1
1,8.1330,8.2818,8.1980,8.2957
2,7.9054,8.1469,8.1359,8.2846
3,7.7181,8.0425,8.0736,8.2758
4,7.5130,7.9447,8.0093,8.2676
5,7.2753,7.8346,7.9377,8.2600
6,7.0059,7.6949,7.8500,8.2528
7,6.7154,7.5135,7.7321,8.2457
8,6.4188,7.2779,7.5617,8.2386
9,6.1235,6.9771,7.3152,8.2313
10,5.8424,6.6134,6.9825,8.2236
11,5.5806,6.2164,6.5842,8.2150
12,5.3411,5.8192,6.1697,8.2058
13,5.1236,5.4554,5.7712,8.1956
14,4.9309,5.1293,5.3942,8.1845
15,4.7504,4.8278,5.0381,8.1721
16,4.5837,4.5308,4.6628,8.1586
17,4.4245,4.2237,4.2682,8.1438
18,4.2727,3.8897,3.8838,8.1277
19,4.1215,3.5551,3.5555,8.1101
20,3.9663,3.2515,3.3015,8.0915
21,3.8079,2.9874,3.1147,8.0721
22,3.6577,2.7579,2.9701,8.0519
23,3.4956,2.5533,2.8264,8.0308
24,3.3356,2.3750,2.6709,8.0094
25,3.1798,2.2218,2.5078,7.9866
26,3.0260,2.0797,2.3397,7.9619
27,2.8775,1.9558,2.1904,7.9341
28,2.7322,1.8485,2.0416,7.9008
29,2.5944,1.7572,1.8782,7.8580
30,2.4582,1.6659,1.7492,7.7980
31,2.3287,1.5823,1.5946,7.7102
32,2.2060,1.5151,1.4889,7.5784
33,2.0905,1.4485,1.3970,7.3814
34,1.9819,1.3852,1.3190,7.0979
35,1.8780,1.3161,1.2601,6.7237
36,1.7894,1.2570,1.1652,6.3066
37,1.7066,1.2087,1.1117,5.8922
38,1.6290,1.1592,1.0878,5.5089
39,1.5608,1.1050,1.0157,5.1456
40,1.4945,1.0640,0.9565,4.7855
41,1.4329,1.0184,1.0110,4.4048
42,1.3808,0.9694,0.8499,3.9699
43,1.3332,0.9416,0.8992,3.5522
44,1.2883,0.8946,0.8246,3.2367
45,1.2472,0.8682,0.8604,3.0555
46,1.2063,0.8394,0.8537,2.9608
47,1.1733,0.8051,0.7464,2.9078
48,1.1423,0.7838,0.8012,2.8734
49,1.1100,0.7480,0.7647,2.8468
50,1.0813,0.7232,0.7666,2.8203
51,1.0541,0.6992,0.7059,2.7916
52,1.0322,0.6790,0.6063,2.7617
53,1.0067,0.6467,0.6593,2.7187
54,0.9839,0.6341,0.7618,2.6508
55,0.9638,0.6286,0.6131,2.5402
56,0.9424,0.5920,0.5978,2.4082
57,0.9203,0.5843,0.6774,2.2730
58,0.9006,0.5708,0.6344,2.0960
59,0.8784,0.5504,0.6504,1.9555
60,0.8619,0.5240,0.5871,1.8062
61,0.8503,0.5133,0.5528,1.5673
62,0.8279,0.5155,0.4694,1.5007
63,0.8131,0.5046,0.5574,1.3298
64,0.7941,0.4789,0.6793,1.4942
65,0.7777,0.4774,0.5412,1.3009
66,0.7647,0.4709,0.4656,1.4196
67,0.7526,0.4682,0.4324,1.2180
68,0.7376,0.4527,0.5038,1.1226
69,0.7240,0.4366,0.4806,1.0088
70,0.7072,0.4387,0.4545,1.0445
71,0.6951,0.4424,0.5064,1.0700
72,0.6791,0.4261,0.4705,0.8982
73,0.6689,0.4116,0.4101,0.9289
74,0.6599,0.4040,0.3660,0.8309
75,0.6475,0.4099,0.4443,0.9159
76,0.6388,0.3904,0.4034,0.6984
77,0.6258,0.3903,0.3797,0.7513
78,0.6129,0.3724,0.4306,0.7927
79,0.6042,0.3688,0.4598,0.6427
80,0.5929,0.3897,0.3419,0.5769
81,0.5833,0.3527,0.3498,0.6065
82,0.5746,0.4091,0.3614,0.6658
83,0.5610,0.3292,0.3834,0.5806
84,0.5549,0.3596,0.3747,0.4737
85,0.5472,0.3764,0.4444,0.5231
86,0.5364,0.3297,0.2972,0.4755
87,0.5253,0.3306,0.3299,0.4912
88,0.5187,0.3435,0.2910,0.4831
89,0.5135,0.3526,0.3403,0.4492
90,0.5016,0.3604,0.4145,0.4429
91,0.4941,0.3359,0.2988,0.4088
92,0.4898,0.3233,0.2608,0.3963
93,0.4825,0.4286,0.2577,0.3603
94,0.4739,0.3995,0.2678,0.3663
95,0.4664,0.3186,0.3177,0.3406
