Epoch,Mean Squared Error,Mean Absolute Error,Smooth L1 Loss,Huber Loss,Log-Cosh Loss,Quantile Loss,Mean Absolute Percentage Error
1,8.1798,2.2914,1.8775,1.8696,1.7413,1.1995,1.2410
2,8.1317,2.2906,1.8756,1.8684,1.7399,1.1757,1.1480
3,8.0845,2.2898,1.8739,1.8673,1.7385,1.1530,1.0951
4,8.0367,2.2890,1.8722,1.8661,1.7373,1.1315,1.0693
5,7.9866,2.2882,1.8706,1.8650,1.7361,1.1109,1.0302
6,7.9322,2.2874,1.8690,1.8640,1.7349,1.0910,1.0468
7,7.8703,2.2866,1.8675,1.8630,1.7338,1.0717,1.0235
8,7.7987,2.2858,1.8661,1.8620,1.7328,1.0534,1.0234
9,7.7128,2.2850,1.8647,1.8610,1.7318,1.0357,1.0244
10,7.6120,2.2842,1.8633,1.8600,1.7309,1.0186,1.0194
11,7.4924,2.2834,1.8620,1.8591,1.7300,1.0022,1.0379
12,7.3524,2.2826,1.8608,1.8582,1.7291,0.9864,1.0204
13,7.1916,2.2818,1.8595,1.8573,1.7283,0.9712,1.0165
14,7.0104,2.2809,1.8583,1.8564,1.7275,0.9564,1.0297
15,6.8106,2.2800,1.8572,1.8556,1.7267,0.9420,1.0300
16,6.5953,2.2792,1.8560,1.8547,1.7260,0.9281,1.0246
17,6.3709,2.2783,1.8549,1.8539,1.7253,0.9144,1.0242
18,6.1402,2.2774,1.8537,1.8531,1.7246,0.9010,1.0250
19,5.9095,2.2765,1.8526,1.8522,1.7239,0.8881,1.0340
20,5.6824,2.2755,1.8515,1.8514,1.7233,0.8755,1.0259
21,5.4660,2.2746,1.8504,1.8506,1.7227,0.8633,1.0224
22,5.2625,2.2736,1.8493,1.8498,1.7221,0.8513,1.0123
23,5.0755,2.2727,1.8482,1.8490,1.7215,0.8396,1.0223
24,4.9058,2.2717,1.8471,1.8482,1.7209,0.8281,1.0329
25,4.7557,2.2707,1.8460,1.8475,1.7203,0.8170,1.0185
26,4.6219,2.2696,1.8449,1.8467,1.7197,0.8061,1.0200
27,4.5031,2.2686,1.8438,1.8459,1.7192,0.7953,1.0250
28,4.4014,2.2675,1.8426,1.8451,1.7186,0.7849,1.0194
29,4.3110,2.2664,1.8415,1.8443,1.7181,0.7748,1.0272
30,4.2334,2.2652,1.8403,1.8435,1.7175,0.7650,1.0219
31,4.1648,2.2641,1.8391,1.8427,1.7170,0.7554,1.0117
32,4.1052,2.2629,1.8380,1.8419,1.7165,0.7461,1.0332
33,4.0537,2.2617,1.8367,1.8411,1.7159,0.7373,1.0127
34,4.0074,2.2605,1.8355,1.8403,1.7154,0.7288,1.0247
35,3.9645,2.2592,1.8343,1.8395,1.7149,0.7206,1.0201
36,3.9256,2.2579,1.8330,1.8387,1.7143,0.7128,1.0179
37,3.8932,2.2566,1.8317,1.8379,1.7138,0.7053,1.0307
38,3.8608,2.2552,1.8304,1.8370,1.7133,0.6981,1.0156
39,3.8326,2.2539,1.8291,1.8362,1.7127,0.6912,1.0302
40,3.8047,2.2525,1.8277,1.8353,1.7122,0.6845,1.0170
41,3.7771,2.2510,1.8263,1.8345,1.7116,0.6780,1.0170
42,3.7512,2.2496,1.8249,1.8336,1.7111,0.6717,1.0229
43,3.7273,2.2481,1.8235,1.8327,1.7105,0.6656,1.0183
44,3.7033,2.2465,1.8220,1.8318,1.7099,0.6597,1.0234
45,3.6803,2.2450,1.8205,1.8309,1.7094,0.6540,1.0160
46,3.6566,2.2433,1.8190,1.8300,1.7088,0.6485,1.0167
47,3.6331,2.2417,1.8175,1.8291,1.7082,0.6432,1.0319
48,3.6100,2.2400,1.8159,1.8281,1.7076,0.6380,1.0224
49,3.5864,2.2383,1.8143,1.8271,1.7070,0.6329,1.0192
50,3.5643,2.2365,1.8127,1.8262,1.7064,0.6281,1.0220
51,3.5415,2.2347,1.8110,1.8252,1.7057,0.6234,1.0232
52,3.5192,2.2329,1.8093,1.8242,1.7051,0.6188,1.0228
53,3.4942,2.2310,1.8076,1.8231,1.7044,0.6145,1.0198
54,3.4732,2.2290,1.8059,1.8221,1.7038,0.6103,1.0218
55,3.4497,2.2270,1.8041,1.8210,1.7031,0.6063,1.0235
56,3.4284,2.2250,1.8023,1.8199,1.7024,0.6024,1.0202
57,3.4047,2.2229,1.8004,1.8188,1.7017,0.5986,1.0171
58,3.3786,2.2208,1.7986,1.8177,1.7010,0.5950,1.0250
59,3.3547,2.2186,1.7966,1.8166,1.7002,0.5915,1.0127
60,3.3312,2.2163,1.7947,1.8154,1.6995,0.5881,1.0272
61,3.3045,2.2140,1.7927,1.8142,1.6987,0.5848,1.0239
62,3.2737,2.2116,1.7907,1.8130,1.6979,0.5816,1.0210
63,3.2409,2.2092,1.7886,1.8118,1.6971,0.5785,1.0131
64,3.2002,2.2067,1.7865,1.8105,1.6963,0.5754,1.0280
65,3.1456,2.2041,1.7844,1.8092,1.6954,0.5724,1.0207
