Epoch,SGD,SGD with Momentum,Adam,AdamW,RMSprop,Adagrad
1,8.8055,8.5452,8.3944,8.5095,8.1210,8.7074
2,8.6166,8.1176,8.1389,8.0991,7.6097,8.6503
3,8.4692,7.3631,7.8210,7.7345,7.0759,8.6164
4,8.3483,5.8403,7.4512,7.3645,6.5414,8.5908
5,8.2504,4.6455,7.0377,6.9121,6.0536,8.5697
6,8.1740,3.5253,6.6229,6.4043,5.6204,8.5516
7,8.1155,2.7498,6.2337,5.9372,5.2460,8.5357
8,8.0704,2.4069,5.9030,5.5584,4.9309,8.5215
9,8.0349,2.2379,5.6228,5.2860,4.6720,8.5085
10,8.0057,2.1061,5.3876,5.0862,4.4614,8.4967
11,7.9806,2.0159,5.1977,4.9573,4.3066,8.4857
12,7.9577,1.9395,5.0382,4.8722,4.1789,8.4755
13,7.9366,1.8677,4.9030,4.8123,4.0632,8.4659
14,7.9147,1.7841,4.7758,4.7684,3.9277,8.4569
15,7.8922,1.7435,4.6543,4.7338,3.7809,8.4483
16,7.8683,1.6537,4.5096,4.7015,3.6405,8.4402
17,7.8415,1.6299,4.3164,4.6750,3.5061,8.4324
18,7.8112,1.5964,4.0892,4.6484,3.3735,8.4249
19,7.7751,1.5826,3.8407,4.6232,3.2333,8.4177
20,7.7312,1.5620,3.6091,4.6037,3.0871,8.4108
21,7.6778,1.4784,3.4035,4.5730,2.9391,8.4042
22,7.6131,1.4944,3.2169,4.5524,2.7992,8.3977
23,7.5362,1.4305,3.0558,4.5240,2.6655,8.3914
24,7.4456,1.4352,2.8970,4.5018,2.5569,8.3853
25,7.3413,1.4049,2.7467,4.4715,2.4599,8.3794
26,7.2221,1.3659,2.6280,4.4379,2.3753,8.3735
27,7.0891,1.3715,2.5221,4.3982,2.3044,8.3679
28,6.9428,1.3809,2.4410,4.3526,2.2403,8.3624
29,6.7855,1.3276,2.3697,4.3055,2.1826,8.3569
30,6.6212,1.2604,2.3051,4.2750,2.1342,8.3517
31,6.4536,1.2146,2.2471,4.2415,2.0842,8.3465
32,6.2865,1.2208,2.1947,4.2145,2.0411,8.3414
33,6.1240,1.1706,2.1429,4.1907,1.9994,8.3364
34,5.9684,1.1351,2.0952,4.1678,1.9592,8.3315
35,5.8217,1.0658,2.0439,4.1486,1.9240,8.3266
36,5.6831,1.0435,1.9964,4.1256,1.8899,8.3219
37,5.5539,1.0422,1.9544,4.0995,1.8559,8.3172
38,5.4336,1.0099,1.9092,4.0681,1.8298,8.3126
39,5.3215,1.0032,1.8672,4.0188,1.8027,8.3081
40,5.2195,0.9934,1.8286,3.9560,1.7728,8.3036
41,5.1228,0.9533,1.7917,3.8881,1.7508,8.2992
42,5.0329,0.9074,1.7570,3.8220,1.7306,8.2948
43,4.9497,0.9133,1.7263,3.7533,1.7071,8.2905
44,4.8689,0.8895,1.6927,3.6922,1.6860,8.2862
45,4.7904,0.8758,1.6716,3.6396,1.6680,8.2820
46,4.7125,0.8963,1.6369,3.5915,1.6481,8.2778
47,4.6324,0.9580,1.6121,3.5504,1.6306,8.2737
48,4.5508,0.8744,1.5887,3.5155,1.6161,8.2696
49,4.4643,0.8332,1.5639,3.4793,1.6000,8.2656
50,4.3732,0.8120,1.5418,3.4498,1.5841,8.2616
51,4.2790,0.8136,1.5162,3.4227,1.5687,8.2577
52,4.1808,0.7801,1.4980,3.3956,1.5569,8.2537
53,4.0785,0.8355,1.4828,3.3746,1.5443,8.2498
54,3.9741,0.8131,1.4584,3.3472,1.5336,8.2460
55,3.8692,0.7946,1.4454,3.3255,1.5212,8.2422
56,3.7613,0.7735,1.4267,3.3049,1.5109,8.2384
57,3.6569,0.7691,1.4114,3.2906,1.5005,8.2346
58,3.5589,0.7654,1.3971,3.2737,1.4893,8.2309
59,3.4650,0.7644,1.3825,3.2510,1.4799,8.2271
60,3.3784,0.7347,1.3656,3.2439,1.4695,8.2234
61,3.2990,0.7603,1.3542,3.2262,1.4618,8.2198
62,3.2261,0.7299,1.3464,3.2119,1.4540,8.2161
63,3.1593,0.7508,1.3311,3.2018,1.4482,8.2125
64,3.0993,0.7217,1.3213,3.1927,1.4387,8.2089
65,3.0481,0.7041,1.3099,3.1799,1.4307,8.2054
66,2.9969,0.7234,1.3005,3.1681,1.4232,8.2018
67,2.9566,0.7031,1.2894,3.1536,1.4181,8.1983
68,2.9158,0.7130,1.2856,3.1384,1.4114,8.1948
69,2.8807,0.6921,1.2739,3.1134,1.4064,8.1912
70,2.8499,0.6823,1.2613,3.0285,1.4001,8.1878
71,2.8196,0.6820,1.2527,2.6877,1.3922,8.1843
72,2.7944,0.6961,1.2476,2.2563,1.3899,8.1809
73,2.7701,0.7084,1.2351,2.0233,1.3819,8.1774
74,2.7454,0.6735,1.2239,1.8738,1.3759,8.1740
75,2.7215,0.6705,1.2195,1.7912,1.3714,8.1706
76,2.6985,0.6950,1.2068,1.7396,1.3655,8.1672
77,2.6799,0.6813,1.1959,1.7066,1.3600,8.1638
78,2.6544,0.6683,1.1828,1.6706,1.3550,8.1605
79,2.6347,0.6745,1.1691,1.6462,1.3490,8.1571
80,2.6148,0.6883,1.1567,1.6288,1.3457,8.1538
81,2.5963,0.6602,1.1336,1.6026,1.3403,8.1505
82,2.5726,0.6637,1.1141,1.5837,1.3345,8.1472
83,2.5600,0.6691,1.1066,1.5562,1.3287,8.1439
84,2.5401,0.6668,1.0937,1.5385,1.3265,8.1406
85,2.5172,0.6509,1.0795,1.5246,1.3222,8.1373
86,2.4990,0.6712,1.0703,1.5074,1.3141,8.1340
87,2.4829,0.6435,1.0569,1.4910,1.3109,8.1308
88,2.4651,0.6869,1.0507,1.4731,1.3044,8.1275
89,2.4539,0.6493,1.0416,1.4555,1.3014,8.1243
90,2.4286,0.6447,1.0394,1.4436,1.2968,8.1211
91,2.4190,0.6532,1.0337,1.4247,1.2921,8.1179
92,2.3957,0.6472,1.0160,1.4113,1.2890,8.1146
93,2.3842,0.6336,1.0081,1.3980,1.2828,8.1114
94,2.3613,0.6547,0.9972,1.3837,1.2815,8.1083
95,2.3467,0.6412,0.9955,1.3656,1.2752,8.1051
96,2.3342,0.6386,0.9801,1.3560,1.2705,8.1019
97,2.3181,0.6290,0.9751,1.3502,1.2676,8.0988
98,2.3067,0.6487,0.9649,1.3326,1.2651,8.0956
99,2.2849,0.6301,0.9512,1.3217,1.2576,8.0924
100,2.2678,0.6087,0.9375,1.3082,1.2538,8.0893
101,2.2496,0.6380,0.9286,1.3014,1.2525,8.0862
102,2.2290,0.6950,0.9223,1.2821,1.2499,8.0830
103,2.2061,0.6331,0.9089,1.2765,1.2466,8.0799
104,2.1898,0.6316,0.8906,1.2633,1.2403,8.0768
105,2.1680,0.6234,0.8785,1.2559,1.2365,8.0737
106,2.1417,0.6833,0.8642,1.2500,1.2357,8.0706
107,2.1249,0.6201,0.8506,1.2340,1.2328,8.0675
108,2.0987,0.6087,0.8394,1.2243,1.2318,8.0644
109,2.0785,0.6276,0.8236,1.2199,1.2262,8.0614
110,2.0527,0.6062,0.8144,1.2087,1.2232,8.0583
111,2.0321,0.6100,0.7982,1.2021,1.2206,8.0552
112,2.0158,0.6076,0.7860,1.1907,1.2179,8.0522
113,2.0019,0.6018,0.7740,1.1858,1.2134,8.0491
114,1.9735,0.5986,0.7657,1.1798,1.2131,8.0461
115,1.9555,0.6149,0.7586,1.1679,1.2107,8.0430
116,1.9361,0.5911,0.7416,1.1673,1.2070,8.0400
117,1.9184,0.6032,0.7353,1.1602,1.2024,8.0369
118,1.9023,0.6093,0.7246,1.1425,1.2030,8.0339
119,1.8929,0.5787,0.7106,1.1428,1.1985,8.0309
120,1.8744,0.6026,0.7076,1.1299,1.1993,8.0279
121,1.8571,0.6064,0.6962,1.1230,1.1944,8.0248
122,1.8456,0.5790,0.6899,1.1169,1.1909,8.0218
123,1.8244,0.5810,0.6783,1.1088,1.1890,8.0188
124,1.8080,0.5687,0.6713,1.1004,1.1883,8.0158
125,1.7901,0.5740,0.6653,1.0981,1.1819,8.0128
126,1.7800,0.5724,0.6625,1.0892,1.1812,8.0098
127,1.7695,0.5556,0.6502,1.0858,1.1812,8.0069
128,1.7589,0.5720,0.6427,1.0739,1.1787,8.0039
129,1.7356,0.5462,0.6434,1.0748,1.1744,8.0009
130,1.7299,0.5397,0.6385,1.0629,1.1752,7.9979
131,1.7093,0.5362,0.6277,1.0602,1.1727,7.9950
132,1.7015,0.5253,0.6229,1.0543,1.1711,7.9920
133,1.7106,0.5213,0.6125,1.0464,1.1681,7.9890
134,1.6768,0.5180,0.6096,1.0474,1.1669,7.9861
135,1.6584,0.5350,0.6009,1.0315,1.1636,7.9831
136,1.6532,0.5880,0.5968,1.0390,1.1621,7.9802
137,1.6387,0.5039,0.5922,1.0254,1.1611,7.9772
138,1.6217,0.5117,0.5835,1.0235,1.1566,7.9743
139,1.6208,0.5590,0.5826,1.0170,1.1579,7.9713
140,1.6002,0.4993,0.5742,1.0177,1.1547,7.9684
141,1.6023,0.5375,0.5674,1.0095,1.1523,7.9655
142,1.5952,0.4968,0.5691,0.9971,1.1516,7.9626
143,1.5760,0.4857,0.5553,0.9972,1.1508,7.9596
144,1.5846,0.4746,0.5572,0.9906,1.1470,7.9567
145,1.5656,0.4622,0.5474,0.9889,1.1466,7.9538
146,1.5591,0.4570,0.5444,0.9849,1.1442,7.9509
147,1.5481,0.5568,0.5376,0.9783,1.1411,7.9480
148,1.5324,0.5216,0.5354,0.9745,1.1416,7.9451
149,1.5263,0.4730,0.5308,0.9714,1.1405,7.9422
150,1.5157,0.4710,0.5247,0.9648,1.1376,7.9393
151,1.5019,0.5108,0.5238,0.9604,1.1376,7.9364
152,1.4996,0.5002,0.5176,0.9530,1.1354,7.9335
153,1.4967,0.4469,0.5164,0.9514,1.1319,7.9306
154,1.4883,0.5062,0.5110,0.9476,1.1345,7.9277
155,1.4772,0.4507,0.5052,0.9439,1.1303,7.9248
156,1.4744,0.4513,0.4974,0.9429,1.1288,7.9219
157,1.4587,0.4192,0.4942,0.9419,1.1277,7.9190
158,1.4809,0.4713,0.4895,0.9320,1.1252,7.9161
159,1.4439,0.4934,0.4872,0.9276,1.1261,7.9133
160,1.4476,0.5442,0.4800,0.9242,1.1236,7.9104
161,1.4391,0.4222,0.4782,0.9194,1.1218,7.9075
162,1.4319,0.4343,0.4766,0.9176,1.1220,7.9046
163,1.4166,0.4399,0.4728,0.9178,1.1181,7.9018
164,1.4163,0.4655,0.4652,0.9083,1.1193,7.8989
165,1.4248,0.4204,0.4596,0.9034,1.1183,7.8960
166,1.4211,0.4590,0.4571,0.9066,1.1157,7.8932
167,1.3940,0.4251,0.4516,0.8995,1.1152,7.8903
168,1.4070,0.4475,0.4539,0.8997,1.1126,7.8874
169,1.4085,0.4357,0.4467,0.8987,1.1129,7.8846
170,1.4131,0.4374,0.4439,0.8961,1.1120,7.8817
171,1.3827,0.3913,0.4382,0.8950,1.1111,7.8789
172,1.3799,0.4016,0.4368,0.8875,1.1078,7.8760
173,1.3684,0.4667,0.4329,0.8855,1.1063,7.8732
174,1.3629,0.4569,0.4290,0.8821,1.1060,7.8703
175,1.4017,0.4342,0.4248,0.8782,1.1071,7.8674
176,1.3572,0.3995,0.4284,0.8749,1.1036,7.8646
177,1.3620,0.4249,0.4218,0.8702,1.1041,7.8618
178,1.3445,0.3838,0.4186,0.8635,1.1014,7.8589
179,1.3424,0.3816,0.4133,0.8658,1.0996,7.8561
180,1.3296,0.4074,0.4070,0.8638,1.1006,7.8532
181,1.3424,0.4092,0.4094,0.8642,1.0990,7.8504
182,1.3345,0.3991,0.4018,0.8565,1.0967,7.8475
183,1.3155,0.3794,0.3979,0.8579,1.0971,7.8447
184,1.3394,0.4595,0.3955,0.8557,1.0956,7.8419
185,1.3187,0.4053,0.3914,0.8467,1.0934,7.8390
186,1.3159,0.4623,0.3940,0.8453,1.0938,7.8362
187,1.3062,0.4022,0.3894,0.8476,1.0935,7.8334
188,1.3214,0.3997,0.3855,0.8382,1.0926,7.8305
189,1.3317,0.3698,0.3815,0.8403,1.0891,7.8277
190,1.2953,0.3990,0.3794,0.8370,1.0888,7.8249
191,1.2836,0.4614,0.3836,0.8330,1.0887,7.8220
192,1.3862,0.3915,0.3747,0.8315,1.0878,7.8192
193,1.3178,0.3802,0.3692,0.8239,1.0878,7.8164
194,1.2759,0.3889,0.3683,0.8251,1.0857,7.8136
195,1.3101,0.4834,0.3621,0.8233,1.0834,7.8107
196,1.2646,0.3656,0.3631,0.8196,1.0841,7.8079
197,1.3264,0.3671,0.3615,0.8130,1.0825,7.8051
198,1.2637,0.3598,0.3637,0.8085,1.0826,7.8023
199,1.2802,0.4254,0.3543,0.8009,1.0797,7.7994
200,1.3463,0.4127,0.3519,0.7956,1.0803,7.7966
201,1.2968,0.3730,0.3499,0.7877,1.0797,7.7938
202,1.3143,0.3653,0.3485,0.7724,1.0793,7.7910
203,1.3396,0.3834,0.3485,0.7576,1.0780,7.7882
204,1.3023,0.3635,0.3498,0.7454,1.0772,7.7853
205,1.2333,0.3886,0.3422,0.7250,1.0747,7.7825
206,1.3265,0.3917,0.3385,0.7055,1.0749,7.7797
207,1.2768,0.3644,0.3379,0.6906,1.0720,7.7769
208,1.2680,0.3692,0.3344,0.6763,1.0742,7.7741
209,1.2577,0.4919,0.3346,0.6646,1.0709,7.7713
210,1.2948,0.4799,0.3309,0.6487,1.0693,7.7685
211,1.2470,0.3414,0.3278,0.6477,1.0693,7.7657
212,1.3191,0.3704,0.3307,0.6314,1.0677,7.7628
213,1.2306,0.3629,0.3303,0.6223,1.0677,7.7600
214,1.2052,0.3610,0.3231,0.6160,1.0676,7.7572
215,1.3666,0.3977,0.3217,0.6079,1.0670,7.7544
216,1.2749,0.4588,0.3212,0.6034,1.0657,7.7516
217,1.2615,0.3749,0.3196,0.6070,1.0642,7.7488
218,1.4210,0.3703,0.3155,0.5925,1.0649,7.7460
219,1.2652,0.3447,0.3141,0.5926,1.0616,7.7431
220,1.3066,0.3244,0.3144,0.5763,1.0612,7.7403
221,1.2542,0.3728,0.3123,0.5752,1.0604,7.7375
222,1.3378,0.3775,0.3087,0.5723,1.0588,7.7347
223,1.2387,0.3511,0.3100,0.5655,1.0610,7.7319
224,1.1981,0.3632,0.3077,0.5580,1.0587,7.7291
225,1.2416,0.3448,0.3042,0.5595,1.0584,7.7263
226,1.2914,0.4447,0.3046,0.5490,1.0572,7.7235
227,1.2338,0.3914,0.3049,0.5478,1.0529,7.7207
228,1.3575,0.3923,0.3021,0.5464,1.0546,7.7178
229,1.3105,0.3534,0.3013,0.5415,1.0537,7.7150
230,1.1901,1.0468,0.2978,0.5377,1.0517,7.7122
231,1.3359,0.4262,0.3003,0.5348,1.0522,7.7094
232,1.2609,0.3974,0.3047,0.5330,1.0503,7.7066
233,1.3029,0.3453,0.2940,0.5249,1.0512,7.7038
234,1.2998,0.3603,0.2923,0.5211,1.0508,7.7010
235,1.2531,0.3604,0.2877,0.5144,1.0478,7.6982
236,1.3260,0.3788,0.2935,0.5137,1.0497,7.6954
237,1.2003,0.3477,0.2881,0.5136,1.0475,7.6925
